"pathway","leadingEdge"
"conserved Plasmodium protein, unknown function","PF3D7_1013600;PF3D7_0529800;PF3D7_1036900;PF3D7_1451200;PF3D7_1013200;PF3D7_1142900;PF3D7_1460500;PF3D7_1251600;PF3D7_1448500;PF3D7_1106500;PF3D7_1237500;PF3D7_0108300;PF3D7_1251800;PF3D7_1470800;PF3D7_0313900;PF3D7_1229600;PF3D7_1238500;PF3D7_1440000;PF3D7_1128000;PF3D7_0817300;PF3D7_0714200;PF3D7_1454200;PF3D7_1466900;PF3D7_1239800;PF3D7_1133200;PF3D7_1138000;PF3D7_1361200;PF3D7_1023000;PF3D7_1363600;PF3D7_0607900;PF3D7_0310900;PF3D7_1222100;PF3D7_1347900;PF3D7_0213600;PF3D7_0728800;PF3D7_1452400;PF3D7_0723400"
"RNA-binding protein, putative","PF3D7_1330800;PF3D7_0811900;PF3D7_1110400;PF3D7_1244400;PF3D7_1024200;PF3D7_0927600"
"erythrocyte membrane protein 1, PfEMP1","PF3D7_0412900;PF3D7_0600200;PF3D7_0413100;PF3D7_0426000;PF3D7_1219300;PF3D7_0712800;PF3D7_0711700;PF3D7_0412700"
"Plasmodium exported protein (PHISTb), unknown function","PF3D7_1476200;PF3D7_0532300;PF3D7_0424800;PF3D7_1477500;PF3D7_1252700;PF3D7_0937000"
"conserved protein, unknown function","PF3D7_1409400;PF3D7_1318000;PF3D7_0723300;PF3D7_1214900;PF3D7_0624100;PF3D7_0521200;PF3D7_0513900;PF3D7_0806900;PF3D7_1248300;PF3D7_1005900;PF3D7_0903000;PF3D7_1302400;PF3D7_1034800;PF3D7_1410700;PF3D7_0105500;PF3D7_1025900;PF3D7_1125000;PF3D7_0519900;PF3D7_1343500;PF3D7_1459400;PF3D7_0908300;PF3D7_0513100;PF3D7_0934200;PF3D7_0720600;PF3D7_1336600;PF3D7_0604400;PF3D7_0525700"
"Plasmodium exported protein, unknown function","PF3D7_0730800;PF3D7_1038700;PF3D7_0113200;PF3D7_0702500;PF3D7_1478800;PF3D7_0112900;PF3D7_0220300"
"ATP synthase-associated protein, putative","PF3D7_0107400;PF3D7_0306600;PF3D7_0611300;PF3D7_0815400"
"zinc finger protein, putative","PF3D7_0517900;PF3D7_1310300;PF3D7_0409800;PF3D7_1013000;PF3D7_0315800;PF3D7_0315000;PF3D7_1009400"
"peptidyl-prolyl cis-trans isomerase","PF3D7_1423200;PF3D7_0803000"
"acyl-CoA synthetase","PF3D7_0525100;PF3D7_1200700;PF3D7_1238800;PF3D7_1253400;PF3D7_0731600"
"serine/threonine protein kinase, FIKK family","PF3D7_1371700;PF3D7_0424700;PF3D7_0424500"
"conserved Plasmodium membrane protein, unknown function","PF3D7_0717000;PF3D7_0622700;PF3D7_0217000;PF3D7_1411100"
"LCCL domain-containing protein","PF3D7_1407000;PF3D7_1451600;PF3D7_0903800;PF3D7_0109100;PF3D7_1455800"
"stevor","PF3D7_0115400;PF3D7_0631900;PF3D7_0402600;PF3D7_1479900;PF3D7_0900900;PF3D7_0201300;PF3D7_0901600;PF3D7_0300400;PF3D7_1254300;PF3D7_0200400;PF3D7_0222800;PF3D7_1479500;PF3D7_0425500"
